,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Yasmani Grandal,36.4,10.115,473202023,18250000,18250000,FREE AGENT,,,,,
1,Liam Hendriks,36.1,8.164,354202123,18000000,14333333,15000000,,,,,
2,Andrew Benintendi,30.7,6.062,575202327,15000000,8600000,17100000,17100000,17100000,15100000,FREE AGENT,
3,Yoán Moncada,29.8,5.106,570202024,14000000,17800000,24800000,25000000,,,,
4,Tim Anderson,31.8,6.115,7375201723,12500000,12500000,14000000,,,,,
5,Mike Clevinger,34.3,6.033,1122023,12000000,8000000,12000000,,,,,
6,Luis Robert Jr.,27.6,3.000,650202025202627,8333333,9500000,12500000,15000000,20000000,20000000,,
7,Eloy Jiménez,28.3,4.000,643201924202526,7166667,10333333,13833333,16500000,18500000,,,
8,Aaron Bummer,31.5,4.150,51475202024,3200000,3750000,5500000,,,,,
9,Elvis Andrus,36.6,14.000,132023,3000000,3000000,FREE AGENT,,,,,
