,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Lucas Giolito,26.2,2.080,16272020,,627000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Reynaldo López,26.8,2.096,16052020,,605000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Jace Fry,27.2,2.005,15902020,,590000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Adam Engel,28.8,2.058,15882020,,588000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Dylan Cease,24.8,0.089,15752020,,575000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
5,Codi Heuer,24.3,0.000,156352020,,563500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
6,Matt Foster,25.7,0.000,156352020,,563500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
7,Michael Kopech,24.4,1.041,120202020,,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Nick Madrigal,23.6,0.000,156352020,,563500,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3
9,Estimated salaries for other pre-arbitration players,,,,,4508000,,,,,,
