Ranking,Player,2000/01,2000/01(*)
1.,Kevin Garnett,19610000,35736495
2.,Shaquille O'Neal,19285715,35145530
3.,Alonzo Mourning,16880000,30761450
4.,Juwan Howard,16875000,30752338
5.,Hakeem Olajuwon,16700000,30433425
6.,Karl Malone,15750000,28702182
7.,David Robinson,14700000,26788703
8.,Dikembe Mutombo,14400000,26241995
9.,Patrick Ewing,14000000,25513051
10.,Jayson Williams,13800000,25148578
11.,Scottie Pippen,13750000,25057460
12.,Rasheed Wallace,12600000,22961745
13.,Gary Payton,12200000,22232801
14.,Chris Webber,12000000,21868329
14.,Tim Hardaway,12000000,21868329
16.,Shawn Kemp,11720000,21358068
17.,Arvydas Sabonis,11250000,20501558
17.,Damon Stoudamire,11250000,20501558
19.,John Stockton,11000000,20045968
19.,Larry Johnson,11000000,20045968
21.,Antonio McDyess,10800000,19681496
22.,Reggie Miller,10670000,19444589
23.,Anfernee Hardaway,10130000,18460514
23.,Allen Iverson,10130000,18460514
23.,Vin Baker,10130000,18460514
23.,Ray Allen,10130000,18460514
23.,Shareef Abdur-Rahim,10130000,18460514
23.,Kobe Bryant,10130000,18460514
23.,Zydrunas Ilgauskas,10130000,18460514
23.,Stephon Marbury,10130000,18460514
23.,Antoine Walker,10130000,18460514
32.,Latrell Sprewell,10125000,18451402
33.,Bryant Reeves,10110000,18424067
34.,Rod Strickland,10000000,18223607
34.,Mitch Richmond,10000000,18223607
36.,Tim Duncan,9660000,17604005
36.,Tracy McGrady,9660000,17604005
36.,Grant Hill,9660000,17604005
36.,Jalen Rose,9660000,17604005
40.,Vlade Divac,9640000,17567558
41.,Tom Gugliotta,9360000,17057296
42.,Nick Van Exel,9200000,16765719
43.,Allan Houston,9000000,16401247
43.,Keith Van Horn,9000000,16401247
45.,Eddie Jones,8960000,16328352
46.,Brian Grant,8900000,16219011
47.,Tim Thomas,8510000,15508290
48.,Michael Finley,8400000,15307830
49.,Shawn Bradley,8370000,15253159
50.,Terrell Brandon,8330000,15180265
51.,Glenn Robinson,8120000,14797569
52.,Steve Smith,8100000,14761122
53.,Elden Campbell,8050000,14670004
54.,Danny Manning,8030000,14633556
55.,Avery Johnson,8000000,14578886
55.,Derrick Coleman,8000000,14578886
57.,Theo Ratliff,7800000,14214414
58.,Kerry Kittles,7770000,14159743
59.,Jason Kidd,7680000,13995730
60.,Glen Rice,7578900,13811490
61.,Kenny Anderson,7520000,13704153
62.,Matt Geiger,7515840,13696572
