,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Mike Trout,33.6,13.070,124265201930,35541667,37116667,37116667,37116667,37116667,37116667,37116667,FREE AGENT
1,Anthony Rendon,34.8,11.130,7245202026,35000000,38571429,38571429,FREE AGENT,,,,
2,Yusei Kikuchi,33.8,6.000,363202527,21000000,21000000,21000000,21000000,FREE AGENT,,,
3,Jorge Soler,33.1,9.143,342202426,16000000,16000000,16000000,FREE AGENT,,,,
4,Tyler Anderson,35.2,9.065,339202325,13000000,13000000,FREE AGENT,,,,,
5,Robert Stephenson,32.1,7.049,3332024262027,11000000,11000000,11000000,2500000,,,,
6,Kenley Jansen,37.5,14.073,1102025,10000000,10000000,FREE AGENT,,,,,
7,Travis d'Arnaud,36.1,11.044,212202526,6000000,6000000,6000000,FREE AGENT,,,,
8,Yoán Moncada,29.8,7.106,152025,5000000,5000000,FREE AGENT,,,,,
9,Kevin Newman,31.6,6.046,127520252026,2750000,2500000,2500000,,,,,
10,Kyle Hendricks,35.3,10.081,1252025,2500000,2500000,FREE AGENT,,,,,
11,Nicky Lopez,30.0,5.139,18502025,850000,850000,FREE AGENT,,,,,
12,Tim Anderson,31.8,8.043,"1 yr, TBD (2025)",,TBD,FREE AGENT,,,,,
