,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Shohei Ohtani,26.3,2.000,17002020,,700000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Félix Peña,30.6,2.079,158752020,,587500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Mike Mayers,28.8,2.020,15732020,,573000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,David Fletcher,26.4,1.111,159352020,,593500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Ty Buttrey,27.5,1.046,157852020,,578500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Justin Anderson,28.0,1.161,15772020,,577000,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
6,Franklin Barreto,24.6,1.031,156852020,,568500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Griffin Canning,24.4,0.153,157052020,,570500,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
8,Taylor Ward,26.8,0.093,156652020,,566500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Jaime Barria,24.2,1.037,12020,,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
10,Jared Walsh,27.2,0.065,15652020,,565000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4
11,Estimated salaries for other pre-arbitration players,,,,,5635000,,,,,,
