,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Justin Verlander,42.1,18.002,31216672023241402024,43333333,43333333,35000000,,,,,
1,Jose Altuve,34.9,12.072,716352018245125202529,23357143,29000000,33000000,33000000,33000000,13000000,13000000,FREE AGENT
2,Alex Bregman,31.0,7.070,5100202024,20000000,30500000,FREE AGENT,,,,,
3,Yordan Alvarez,27.7,4.113,6115202328,19166667,10833333,15833333,26833333,26833333,26833333,FREE AGENT,
4,Josh Hader,31.0,6.115,595202428,19000000,19000000,19000000,19000000,19000000,19000000,FREE AGENT,
5,Lance McCullers Jr.,31.5,8.140,585202226,17000000,17700000,17700000,17700000,FREE AGENT,,,
6,Ryan Pressly,36.3,10.039,2422023242025,15000000,14000000,14000000,,,,,
7,Cristian Javier,28.0,4.000,564202327,12800000,7400000,10400000,21400000,21400000,FREE AGENT,,
8,Yusei Kikuchi,33.8,5.000,336202224,10000000,10000000,FREE AGENT,,,,,
9,Kendall Graveman,34.3,8.078,324202224,8000000,8000000,FREE AGENT,,,,,
10,Victor Caratini,31.6,6.051,212202425,6000000,6000000,6000000,FREE AGENT,,,,
11,Ben Gamel,32.9,6.056,18002024,800000,800000,FREE AGENT,,,,,
12,Héctor Neris,35.8,8.068,114722024,147204,147204,FREE AGENT,,,,,
13,Jason Heyward,35.6,14.000,112732024,127312,127312,FREE AGENT,,,,,
