,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Luis Garcia,28.3,2.083,176322023,,763200,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Chas McCormick,29.9,2.000,175252023,,752500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Bryan Abreu,27.9,2.022,174522023,,745200,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Jeremy Peña,27.5,1.000,175492023,,754900,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Jake Meyers,28.8,1.044,17322023,,732000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Seth Martinez,30.6,0.152,173022023,,730200,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
6,Hunter Brown,26.6,0.035,17252023,,725000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
7,Yainer Diaz,26.5,0.035,172032023,,720300,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Corey Julks,29.1,,17202023,,720000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Estimated salaries for other pre-arbitration players,3600000,,,,,,,,,,
