Year,Team,Name,Salary
2011,ARI,KellyJohnson,5850000.00
2011,ARI,JoeSaunders,5500000.00
2011,ARI,ChrisYoung,5200000.00
2011,ARI,StephenDrew,4650000.00
2011,ARI,JustinUpton,4458333.00
2011,ARI,J.J.Putz,4000000.00
2011,ARI,ZachDuke,3500000.00
2011,ARI,MiguelMontero,3200000.00
2011,ARI,MelvinMora,2350000.00
2011,ARI,ArmandoGalarraga,2300000.00
2011,ARI,AaronHeilman,2000000.00
2011,ARI,XavierNady,1750000.00
2011,ARI,GeoffBlum,1350000.00
2011,ARI,HenryBlanco,1000000.00
2011,ARI,RussellBranyan,1000000.00
2011,ARI,WillieBloomquist,900000.00
2011,ARI,J.C.Gutierrez,430500.00
2011,ARI,GerardoParra,426000.00
2011,ARI,DavidHernandez,423500.00
2011,ARI,RyanRoberts,423500.00
2011,ARI,IanKennedy,423000.00
2011,ARI,JuanMiranda,420000.00
2011,ARI,DanielHudson,419000.00
2011,ARI,BarryEnright,418000.00
2011,ARI,SamDemel,417000.00
2011,ARI,KamMickolio,417000.00
2011,ARI,JoePaterson,414000.00
2012,ARI,StephenDrew,7750000.00
2012,ARI,JasonKubel,7500000.00
2012,ARI,ChrisYoung,7200000.00
2012,ARI,JustinUpton,6958333.00
2012,ARI,JoeSaunders,6000000.00
2012,ARI,MiguelMontero,5900000.00
2012,ARI,AaronHill,5500000.00
2012,ARI,J.J.Putz,4500000.00
2012,ARI,TrevorCahill,3700000.00
2012,ARI,RyanRoberts,2012500.00
2012,ARI,WillieBloomquist,1900000.00
2012,ARI,CraigBreslow,1795000.00
2012,ARI,BradZiegler,1795000.00
2012,ARI,TakashiSaito,1750000.00
2012,ARI,JohnMcDonald,1500000.00
2012,ARI,GeoffBlum,1350000.00
2012,ARI,HenryBlanco,1250000.00
2012,ARI,LyleOverbay,1000000.00
2012,ARI,IanKennedy,519500.00
2012,ARI,DanielHudson,504000.00
2012,ARI,GerardoParra,502000.00
2012,ARI,DavidHernandez,499000.00
2012,ARI,JoePaterson,487500.00
2012,ARI,JoshCollmenter,486000.00
2012,ARI,BryanShaw,483000.00
2012,ARI,PaulGoldschmidt,482000.00
2012,ARI,WadeMiley,481000.00
2013,ARI,HeathBell,10000000.00
2013,ARI,MiguelMontero,10000000.00
2013,ARI,JasonKubel,7500000.00
2013,ARI,MartinPrado,7000000.00
2013,ARI,J.J.Putz,6500000.00
2013,ARI,CodyRoss,6000000.00
2013,ARI,TrevorCahill,5700000.00
2013,ARI,AaronHill,5500000.00
2013,ARI,BrandonMcCarthy,5250000.00
2013,ARI,IanKennedy,4265000.00
2013,ARI,BradZiegler,3150000.00
2013,ARI,EricChavez,3000000.00
2013,ARI,GerardoParra,2350000.00
2013,ARI,WillieBloomquist,1900000.00
2013,ARI,CliffPennington,1750000.00
2013,ARI,DavidHernandez,1375000.00
2013,ARI,EricHinske,1350000.00
2013,ARI,TonySipp,1275000.00
2013,ARI,WilNieves,800000.00
2013,ARI,MattReynolds,505500.00
2013,ARI,JoshCollmenter,504000.00
2013,ARI,WadeMiley,500500.00
2013,ARI,PaulGoldschmidt,500000.00
2013,ARI,TonyCampana,497500.00
2013,ARI,JoePaterson,497500.00
2013,ARI,RandallDelgado,495000.00
2013,ARI,PatrickCorbin,494000.00
2013,ARI,AdamEaton,491000.00
2013,ARI,DidiGregorius,491000.00
2013,ARI,AJPollock,491000.00
2014,ARI,AaronHill,11000000.00
2014,ARI,MartinPrado,11000000.00
2014,ARI,MiguelMontero,10000000.00
2014,ARI,BronsonArroyo,9500000.00
2014,ARI,CodyRoss,9500000.00
2014,ARI,TrevorCahill,7700000.00
2014,ARI,J.J.Putz,7000000.00
2014,ARI,GerardoParra,4850000.00
2014,ARI,MarkTrumbo,4800000.00
2014,ARI,BradZiegler,4500000.00
2014,ARI,EricChavez,3500000.00
2014,ARI,CliffPennington,3250000.00
2014,ARI,JoeThatcher,2375000.00
2014,ARI,OliverPerez,1750000.00
2014,ARI,PaulGoldschmidt,1100000.00
2014,ARI,JoshCollmenter,925000.00
2014,ARI,AddisonReed,538500.00
2014,ARI,WadeMiley,523500.00
2014,ARI,RandallDelgado,510000.00
2014,ARI,WillHarris,510000.00
2014,ARI,TonyCampana,509500.00
2014,ARI,AJPollock,507000.00
2014,ARI,DidiGregorius,506500.00
2014,ARI,VidalNuno,504500.00
2014,ARI,TuffyGosewisch,502000.00
2014,ARI,ChrisOwings,500000.00
2015,ARI,AaronHill,12000000.00
2015,ARI,MarkTrumbo,6900000.00
2015,ARI,YasmanyTomas,5500000.00
2015,ARI,BradZiegler,5000000.00
2015,ARI,AddisonReed,4875000.00
2015,ARI,JeremyHellickson,4275000.00
2015,ARI,CliffPennington,3275000.00
2015,ARI,PaulGoldschmidt,3100000.00
2015,ARI,OliverPerez,2500000.00
2015,ARI,DavidHernandez,2000000.00
2015,ARI,JoshCollmenter,1400000.00
2015,ARI,DavidPeralta,1024000.00
2015,ARI,GeraldLaird,1000000.00
2015,ARI,JordanPacheco,900000.00
2015,ARI,DanielHudson,800000.00
2015,ARI,MattReynolds,600000.00
2015,ARI,RandallDelgado,526000.00
2015,ARI,PatrickCorbin,524000.00
2015,ARI,AJPollock,519500.00
2015,ARI,RubbyDeLaRosa,516000.00
2015,ARI,TuffyGosewisch,514500.00
2015,ARI,EnderInciarte,513000.00
2015,ARI,ChaseAnderson,512500.00
2015,ARI,ChrisOwings,512500.00
2015,ARI,EvanMarshall,512000.00
2015,ARI,MattStites,510500.00
2015,ARI,NickAhmed,508500.00
2015,ARI,JakeLamb,508500.00
2015,ARI,AndrewChafin,507500.00
2016,ARI,ZackGreinke,31799030.00
2016,ARI,YasmanyTomas,7500000.00
2016,ARI,TylerClippard,6100000.00
2016,ARI,PaulGoldschmidt,5833333.00
2016,ARI,BradZiegler,5500000.00
2016,ARI,ShelbyMiller,4350000.00
2016,ARI,WelingtonCastillo,3700000.00
2016,ARI,AJPollock,3500000.00
2016,ARI,DanielHudson,2700000.00
2016,ARI,JeanSegura,2600000.00
2016,ARI,PatrickCorbin,2525000.00
2016,ARI,RubbyDeLaRosa,2350000.00
2016,ARI,RickieWeeks,1500000.00
2016,ARI,RandallDelgado,1275000.00
2016,ARI,ChrisOwings,530500.00
2016,ARI,DavidPeralta,529600.00
2016,ARI,NickAhmed,521600.00
2016,ARI,RobbieRay,521000.00
2016,ARI,JakeLamb,520300.00
2016,ARI,AndrewChafin,519700.00
2016,ARI,ChrisHerrmann,515900.00
2016,ARI,PhilipGosselin,513900.00
2016,ARI,SilvinoBracho,509300.00
2016,ARI,BrandonDrury,508900.00
2016,ARI,SocratesBrito,508500.00
2016,ARI,JakeBarrett,507500.00
2011,ATL,DerekLowe,15000000.00
2011,ATL,ChipperJones,14000000.00
2011,ATL,DanUggla,9146942.00
2011,ATL,TimHudson,9000000.00
2011,ATL,NateMcLouth,7000000.00
2011,ATL,BrianMcCann,6700000.00
2011,ATL,ScottLinebrink,5500000.00
2011,ATL,JairJurrjens,3250000.00
2011,ATL,MartinPrado,3100000.00
2011,ATL,AlexGonzalez,2500000.00
2011,ATL,PeterMoylan,2000000.00
2011,ATL,DavidRoss,1625000.00
2011,ATL,EricHinske,1350000.00
2011,ATL,GeorgeSherrill,1200000.00
2011,ATL,EricO'Flaherty,895000.00
2011,ATL,JasonHeyward,496500.00
2011,ATL,TommyHanson,456500.00
2011,ATL,KrisMedlen,429500.00
2011,ATL,JonnyVenters,429500.00
2011,ATL,BrooksConrad,427250.00
2011,ATL,CraigKimbrel,419000.00
2011,ATL,CristhianMartinez,419000.00
2011,ATL,BrandonBeachy,416500.00
2011,ATL,FreddieFreeman,414000.00
2011,ATL,BrandonHicks,414000.00
2011,ATL,MattYoung,414000.00
2012,ATL,ChipperJones,14000000.00
2012,ATL,DanUggla,13146942.00
2012,ATL,BrianMcCann,11500000.00
2012,ATL,TimHudson,9000000.00
2012,ATL,MichaelBourn,6845000.00
2012,ATL,JairJurrjens,5500000.00
2012,ATL,MartinPrado,4750000.00
2012,ATL,EricO'Flaherty,2490000.00
2012,ATL,MattDiaz,2125000.00
2012,ATL,DavidRoss,1625000.00
2012,ATL,EricHinske,1600000.00
2012,ATL,JackWilson,1000000.00
2012,ATL,ChadDurbin,900000.00
2012,ATL,LivanHernandez,750000.00
2012,ATL,CraigKimbrel,590000.00
2012,ATL,JasonHeyward,565000.00
2012,ATL,FreddieFreeman,535000.00
2012,ATL,TommyHanson,535000.00
2012,ATL,JonnyVenters,533000.00
2012,ATL,BrandonBeachy,495000.00
2012,ATL,CristhianMartinez,491250.00
2012,ATL,KrisMedlen,490000.00
2012,ATL,MikeMinor,482500.00
2012,ATL,AnthonyVarvaro,481250.00
2012,ATL,JoseConstanza,480000.00
2012,ATL,RandallDelgado,480000.00
2012,ATL,JuanFrancisco,480000.00
2012,ATL,TylerPastornicky,480000.00
2012,ATL,ArodysVizcaino,480000.00
2013,ATL,DanUggla,13146942.00
2013,ATL,B.J.Upton,13050000.00
2013,ATL,BrianMcCann,12000000.00
2013,ATL,JustinUpton,9958333.00
2013,ATL,TimHudson,9000000.00
2013,ATL,PaulMaholm,6500000.00
2013,ATL,EricO'Flaherty,4320000.00
2013,ATL,JasonHeyward,3650000.00
2013,ATL,KrisMedlen,2600000.00
2013,ATL,ChrisJohnson,2287500.00
2013,ATL,ReedJohnson,1600000.00
2013,ATL,GeraldLaird,1500000.00
2013,ATL,CristhianMartinez,749750.00
2013,ATL,PaulJanish,725000.00
2013,ATL,CraigKimbrel,655000.00
2013,ATL,FreddieFreeman,560000.00
2013,ATL,RamiroPena,550000.00
2013,ATL,JordanWalden,541500.00
2013,ATL,JordanSchafer,512500.00
2013,ATL,BrandonBeachy,510000.00
2013,ATL,MikeMinor,505000.00
2013,ATL,JuanFrancisco,496250.00
2013,ATL,LuisAvilan,491250.00
2013,ATL,CoryGearrin,491250.00
2013,ATL,AndreltonSimmons,491250.00
2013,ATL,JulioTeheran,490000.00
2013,ATL,AnthonyVarvaro,490000.00
2014,ATL,JustinUpton,14250000.00
2014,ATL,ErvinSantana,14100000.00
2014,ATL,B.J.Upton,13450000.00
2014,ATL,DanUggla,13000000.00
2014,ATL,CraigKimbrel,7000000.00
2014,ATL,FreddieFreeman,5125000.00
2014,ATL,ChrisJohnson,4750000.00
2014,ATL,JasonHeyward,4500000.00
2014,ATL,GavinFloyd,4000000.00
2014,ATL,MikeMinor,3850000.00
2014,ATL,RyanDoumit,3500000.00
2014,ATL,GeraldLaird,1500000.00
2014,ATL,JordanWalden,1490000.00
2014,ATL,AaronHarang,1000000.00
2014,ATL,AndreltonSimmons,1000000.00
2014,ATL,JulioTeheran,800000.00
2014,ATL,RamiroPena,700000.00
2014,ATL,DavidCarpenter,532500.00
2014,ATL,EvanGattis,520250.00
2014,ATL,LuisAvilan,517500.00
2014,ATL,AnthonyVarvaro,515000.00
2014,ATL,AlexWood,506250.00
2014,ATL,DavidHale,502500.00
2014,ATL,TylerPastornicky,500000.00
2015,ATL,TrevorCahill,12000000.00
2015,ATL,NickMarkakis,11000000.00
2015,ATL,FreddieFreeman,8500000.00
2015,ATL,CameronMaybin,7000000.00
2015,ATL,ChrisJohnson,6000000.00
2015,ATL,JasonGrilli,4250000.00
2015,ATL,JonnyGomes,4000000.00
2015,ATL,AlbertoCallaspo,3000000.00
2015,ATL,AndreltonSimmons,3000000.00
2015,ATL,A.J.Pierzynski,2000000.00
2015,ATL,JimJohnson,1600000.00
2015,ATL,KellyJohnson,1500000.00
2015,ATL,DavidCarpenter,1300000.00
2015,ATL,JulioTeheran,1000000.00
2015,ATL,EricYoung,1000000.00
2015,ATL,ShelbyMiller,535000.00
2015,ATL,LuisAvilan,530000.00
2015,ATL,AlexWood,520000.00
2015,ATL,MikeFoltynewicz,508750.00
2015,ATL,ChristianBethancourt,507500.00
2015,ATL,ToddCunningham,507500.00
2015,ATL,PhilipGosselin,507500.00
2015,ATL,JacePeterson,507500.00
2015,ATL,JoeyTerdoslavich,507500.00
2016,ATL,FreddieFreeman,12359375.00
2016,ATL,NickMarkakis,11000000.00
2016,ATL,ErickAybar,8500000.00
2016,ATL,HectorOlivera,4000000.00
2016,ATL,JasonGrilli,3625000.00
2016,ATL,JulioTeheran,3466666.00
2016,ATL,A.J.Pierzynski,3000000.00
2016,ATL,JimJohnson,2500000.00
2016,ATL,BudNorris,2500000.00
2016,ATL,TylerFlowers,2000000.00
2016,ATL,KellyJohnson,2000000.00
2016,ATL,AlexiOgando,2000000.00
2016,ATL,EricO'Flaherty,1750000.00
2016,ATL,GordonBeckham,1250000.00
2016,ATL,JeffFrancoeur,1000000.00
2016,ATL,ArodysVizcaino,897500.00
2016,ATL,EnderInciarte,523000.00
2016,ATL,JacePeterson,520500.00
2016,ATL,PacoRodriguez,520500.00
2016,ATL,AndrewMcKirahan,511750.00
2016,ATL,WilliamsPerez,511250.00
2016,ATL,AdonisGarcia,508750.00
2016,ATL,DanWinkler,508500.00
2016,ATL,ShaeSimmons,508000.00
2016,ATL,MannyBanuelos,507500.00
2016,ATL,JohnGant,507500.00
2016,ATL,JoseRamirez,507500.00
