League ID,League Name,Country,Sport,Revenue (USD),Average Player Salary (USD),Top Team,Total Teams,Founded Year,Viewership
L001,Premier League,England,Football,5275330000.0,12080000.0,Liverpool,16,1886,485.9
L002,Serie A,India,American Football,7088640000.0,6730000.0,Inter Milan,13,1977,135.01
L003,IPL,England,American Football,7930520000.0,14360000.0,Chennai Super Kings,13,1979,157.49
L004,La Liga,Spain,American Football,4972890000.0,13720000.0,Atletico Madrid,22,1999,245.71
L005,Serie A,Italy,Basketball,6265740000.0,7450000.0,Juventus,16,1963,52.83
L006,NFL,England,American Football,6230530000.0,1640000.0,New England Patriots,28,1924,107.82
L007,La Liga,Spain,Basketball,7764560000.0,6670000.0,Real Madrid,22,1932,140.43
L008,La Liga,Italy,American Football,7345940000.0,3430000.0,Real Madrid,10,1980,150.0
L009,NBA,USA,American Football,3134960000.0,6730000.0,Los Angeles Lakers,21,1989,488.9
L010,Bundesliga,Spain,Football,3498290000.0,3080000.0,Borussia Dortmund,29,1981,378.51
L011,Bundesliga,India,Basketball,6989110000.0,13780000.0,Bayern Munich,20,1880,349.45
L012,Serie A,France,Football,1540640000.0,1670000.0,Inter Milan,18,2013,315.42
L013,IPL,Spain,American Football,3644620000.0,10230000.0,Chennai Super Kings,16,1958,374.06
L014,NFL,Italy,American Football,7845970000.0,9440000.0,Green Bay Packers,18,1956,379.94
L015,IPL,France,American Football,5012560000.0,2480000.0,Chennai Super Kings,12,1944,490.29
L016,Ligue 1,Germany,Cricket,5064830000.0,14910000.0,Lyon,31,1893,259.39
L017,La Liga,USA,American Football,6655720000.0,2150000.0,Atletico Madrid,19,2018,315.92
L018,NBA,France,Football,3989320000.0,13480000.0,Miami Heat,23,1889,470.62
L019,Bundesliga,India,Cricket,5922640000.0,7580000.0,RB Leipzig,13,1996,181.48
L020,IPL,India,Basketball,2575200000.0,10800000.0,Mumbai Indians,31,1921,113.0
L021,Ligue 1,India,Football,4147490000.0,5650000.0,Lyon,10,1895,343.04
L022,NFL,Germany,Basketball,689460000.0,5000000.0,Green Bay Packers,13,1968,176.73
L023,NBA,Italy,Cricket,6817730000.0,2360000.0,Miami Heat,17,1904,75.91
L024,NBA,Germany,Football,6797150000.0,3710000.0,Miami Heat,29,1896,77.24
L025,NFL,England,American Football,651960000.0,1520000.0,Green Bay Packers,21,1957,229.16
L026,La Liga,Spain,Basketball,3391810000.0,9290000.0,Atletico Madrid,11,1897,241.97
L027,IPL,Germany,Basketball,4922160000.0,3330000.0,Kolkata Knight Riders,12,1958,449.12
L028,Premier League,France,Football,3507130000.0,3990000.0,Manchester City,23,1918,418.48
L029,Ligue 1,Italy,Basketball,1563060000.0,8199999.999999999,Lyon,20,1901,479.87
L030,NFL,England,American Football,3616740000.0,6240000.0,Dallas Cowboys,24,1980,360.19
L031,IPL,Germany,Cricket,5011900000.0,13880000.0,Chennai Super Kings,27,2015,331.61
L032,NFL,Italy,American Football,5560840000.0,4240000.0,New England Patriots,31,1999,90.55
L033,Ligue 1,France,American Football,6872600000.0,5590000.0,Olympique Marseille,32,1949,304.11
L034,Ligue 1,France,Football,2319580000.0,8720000.0,Olympique Marseille,11,1955,334.81
L035,NBA,Spain,Football,824350000.0,13160000.0,Miami Heat,11,1986,107.43
L036,Serie A,Germany,Football,2836530000.0,14080000.0,Juventus,22,1911,293.04
L037,NBA,India,Cricket,1624450000.0,8350000.0,Los Angeles Lakers,26,1943,475.02
L038,NBA,India,Football,1689450000.0,13720000.0,Los Angeles Lakers,24,1946,217.16
L039,Premier League,India,Basketball,2476070000.0,13330000.0,Manchester City,18,1883,175.65
L040,NBA,India,American Football,2252390000.0,7970000.0,Golden State Warriors,18,1951,293.34
L041,Premier League,England,Cricket,2959100000.0,5760000.0,Manchester City,31,2008,93.55
L042,NBA,India,Basketball,1308600000.0,6510000.0,Miami Heat,27,1927,316.81
L043,NFL,Italy,Football,6685600000.0,8170000.0,Green Bay Packers,16,1952,200.97
L044,Serie A,Spain,American Football,3044080000.0,1420000.0,Inter Milan,15,1934,64.18
L045,Premier League,Germany,American Football,2868650000.0,11190000.0,Manchester United,23,1959,29.8
L046,Ligue 1,Germany,Football,5121010000.0,4340000.0,Lyon,31,1950,333.14
L047,NFL,USA,American Football,2782070000.0,4179999.9999999995,Dallas Cowboys,14,1957,246.72
L048,La Liga,England,American Football,1132480000.0,10140000.0,Real Madrid,18,2004,147.84
L049,NFL,USA,Football,666960000.0,2270000.0,Green Bay Packers,16,2023,131.75
L050,Premier League,Spain,Basketball,4564600000.0,14890000.0,Liverpool,14,1921,150.16
L051,La Liga,Germany,Football,2925630000.0,5550000.0,Barcelona,27,1976,183.95
L052,NFL,England,Football,1404130000.0,14960000.0,Green Bay Packers,26,1944,337.81
L053,Bundesliga,Germany,Cricket,3324500000.0,11760000.0,Bayern Munich,29,1950,325.95
L054,La Liga,England,Cricket,1013260000.0,8420000.0,Barcelona,26,1919,233.01
L055,Ligue 1,Spain,Basketball,5813670000.0,10990000.0,Paris Saint-Germain,26,1920,329.48
L056,NFL,France,American Football,2225970000.0,1010000.0,New England Patriots,21,1958,76.76
L057,Bundesliga,England,Basketball,5241970000.0,11220000.0,Borussia Dortmund,12,1982,2.97
L058,NFL,Italy,Football,7648520000.0,7650000.0,Dallas Cowboys,12,1910,79.76
L059,Premier League,Italy,Football,3581980000.0,2800000.0,Liverpool,30,1948,410.71
L060,Ligue 1,Italy,Basketball,7491060000.0,12470000.0,Olympique Marseille,23,1957,416.47
L061,Ligue 1,Germany,Basketball,5048430000.0,11620000.0,Paris Saint-Germain,15,1890,488.74
L062,Ligue 1,India,Basketball,2869690000.0,1950000.0,Olympique Marseille,25,1932,159.08
L063,NBA,Italy,Cricket,5820040000.0,5350000.0,Los Angeles Lakers,13,1940,274.57
L064,Bundesliga,France,Football,7904150000.0,3870000.0,RB Leipzig,26,2018,154.01
L065,Premier League,USA,American Football,1661500000.0,3720000.0,Liverpool,31,1926,321.56
L066,NBA,India,Basketball,2897830000.0,2580000.0,Golden State Warriors,29,1947,286.77
L067,NBA,Italy,Cricket,2554600000.0,13780000.0,Miami Heat,11,1909,449.0
L068,Premier League,Italy,Cricket,3245750000.0,12190000.0,Manchester City,11,1987,370.56
L069,Premier League,USA,Basketball,5250420000.0,3880000.0,Manchester United,16,1922,332.84
L070,NBA,France,Basketball,894690000.0,6260000.0,Golden State Warriors,14,2010,110.15
L071,Bundesliga,India,American Football,3613110000.0,14450000.0,Borussia Dortmund,22,2015,109.38
L072,Serie A,Germany,American Football,1170200000.0,1330000.0,Inter Milan,13,1933,239.03
L073,Bundesliga,Italy,Basketball,5313910000.0,10080000.0,RB Leipzig,13,1913,324.15
L074,La Liga,Italy,Football,3682720000.0,5480000.0,Real Madrid,11,1885,143.4
L075,Bundesliga,India,Football,6495300000.0,10710000.0,Borussia Dortmund,27,1990,59.15
L076,Serie A,India,Football,5641640000.0,11420000.0,Inter Milan,14,1974,388.95
L077,Serie A,Italy,American Football,681650000.0,10970000.0,Juventus,12,1909,361.26
L078,Serie A,England,Basketball,636510000.0,7510000.0,AC Milan,15,1914,293.28
L079,Ligue 1,Germany,Cricket,3309620000.0,7970000.0,Paris Saint-Germain,21,1941,253.34
L080,Bundesliga,France,Football,7641410000.0,2950000.0,RB Leipzig,32,1948,437.44
L081,Serie A,Italy,Cricket,4653680000.0,2950000.0,Inter Milan,21,1986,116.68
L082,La Liga,Germany,Basketball,7044470000.0,2210000.0,Barcelona,19,1931,33.83
L083,Bundesliga,Spain,Football,3629650000.0,12580000.0,RB Leipzig,26,1902,108.47
L084,Bundesliga,India,Cricket,2748330000.0,14060000.0,Borussia Dortmund,27,1951,245.12
L085,La Liga,USA,Basketball,6674380000.0,13910000.0,Real Madrid,11,1943,138.4
L086,NBA,Spain,Basketball,1435250000.0,9260000.0,Golden State Warriors,17,1994,226.27
L087,Serie A,Germany,American Football,3150970000.0,2300000.0,AC Milan,13,2008,162.39
L088,Bundesliga,India,Cricket,6398240000.0,11700000.0,RB Leipzig,32,1917,235.87
L089,NBA,England,Football,6844670000.0,9150000.0,Miami Heat,24,2020,249.58
L090,Ligue 1,India,Football,7546220000.0,1450000.0,Olympique Marseille,24,1928,354.24
L091,Premier League,England,American Football,1520280000.0,11450000.0,Manchester United,19,1904,2.69
L092,Ligue 1,England,Football,7023660000.0,14490000.0,Paris Saint-Germain,29,1955,467.21
L093,NBA,India,Cricket,2647540000.0,5520000.0,Miami Heat,11,1968,187.25
L094,Serie A,France,Basketball,5777730000.0,2170000.0,Inter Milan,11,1920,199.1
L095,NBA,Spain,American Football,7661390000.0,9320000.0,Golden State Warriors,11,2004,261.39
L096,Serie A,Italy,American Football,2547720000.0,7960000.0,Inter Milan,11,2020,269.68
L097,NFL,India,Football,1406030000.0,3810000.0,Dallas Cowboys,11,1898,321.19
L098,NFL,France,Cricket,7050350000.0,3300000.0,Green Bay Packers,21,1963,461.9
L099,Bundesliga,Germany,Cricket,7609280000.0,4970000.0,Borussia Dortmund,15,1884,319.68
L100,La Liga,France,American Football,2499000000.0,12140000.0,Barcelona,24,1897,343.81
L101,Bundesliga,Italy,Cricket,2053560000.0,13120000.0,Bayern Munich,22,1978,100.48
L102,IPL,England,Football,658860000.0,14240000.0,Kolkata Knight Riders,23,1927,227.4
L103,Bundesliga,USA,American Football,2589120000.0,11170000.0,Bayern Munich,18,1880,12.85
L104,NFL,England,American Football,1885980000.0,3130000.0,Dallas Cowboys,28,1940,158.2
L105,Premier League,Spain,American Football,2899800000.0,10250000.0,Manchester United,11,1941,395.18
L106,Premier League,France,American Football,5947860000.0,11250000.0,Manchester United,17,1992,30.92
L107,Ligue 1,Germany,Basketball,3775110000.0,11300000.0,Paris Saint-Germain,31,1923,357.99
L108,IPL,England,Football,4296610000.0,10660000.0,Kolkata Knight Riders,31,2001,371.82
L109,Bundesliga,India,Cricket,5351020000.0,12530000.0,Bayern Munich,26,2020,252.4
L110,IPL,USA,Cricket,1624100000.0,9930000.0,Mumbai Indians,12,1885,59.42
L111,La Liga,Germany,Basketball,4678220000.0,5910000.0,Atletico Madrid,28,1956,390.39
L112,La Liga,England,Basketball,3931190000.0,1910000.0,Barcelona,18,1995,253.93
L113,Premier League,Germany,Basketball,2345010000.0,5140000.0,Manchester City,11,1972,356.89
L114,La Liga,Italy,Football,4906430000.0,5760000.0,Barcelona,21,1938,51.7
L115,Bundesliga,USA,Football,6269510000.0,1390000.0,RB Leipzig,15,1933,195.98
L116,Ligue 1,Spain,Football,4684710000.0,4090000.0,Paris Saint-Germain,18,1934,258.92
L117,Premier League,India,Cricket,2061540000.0,9510000.0,Manchester United,28,2011,404.57
L118,IPL,USA,Cricket,5926290000.0,11000000.0,Chennai Super Kings,30,1970,456.83
L119,IPL,France,Basketball,2628280000.0,9160000.0,Kolkata Knight Riders,17,1985,342.2
L120,NFL,USA,Cricket,7936140000.0,4430000.0,New England Patriots,19,1981,396.76
L121,NFL,England,Football,6270550000.0,13120000.0,Dallas Cowboys,21,1972,370.12
